date,api_key,team,model,request_count,prompt_tokens,completion_tokens,cost_usd
2025-11-01,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,8334,15001200,3166920,92.51
2025-11-01,key-devagent-prod,DevAgent,gpt-5.4,5265,25919595,5212350,142.98
2025-11-01,key-digestbot-prod,DigestBot,claude-haiku-4-5,9325,33859075,8784150,62.22
2025-11-01,key-research-shared,Research,claude-sonnet-4-6,151,431407,125632,3.18
2025-11-02,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,8146,14874596,3567948,98.14
2025-11-02,key-devagent-prod,DevAgent,gpt-5.4,4667,22858966,5451056,138.91
2025-11-02,key-digestbot-prod,DigestBot,claude-haiku-4-5,10603,39771853,9436670,69.56
2025-11-02,key-research-shared,Research,claude-sonnet-4-6,723,1994757,683958,16.24
2025-11-03,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,30431,56419074,11715935,345.0
2025-11-03,key-devagent-prod,DevAgent,gpt-5.4,5709,24936912,6354117,157.65
2025-11-03,key-digestbot-prod,DigestBot,claude-haiku-4-5,8790,35256690,8069220,60.48
2025-11-03,key-kyc-prod,KYC,claude-sonnet-4-6,10375,27960625,5011125,159.05
2025-11-04,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,35472,66687360,15111072,426.73
2025-11-04,key-advisorchat-prod,AdvisorChat,gpt-4o,334,1231792,304608,6.13
2025-11-04,key-devagent-prod,DevAgent,gpt-5.4,4401,18748260,4995135,121.8
2025-11-04,key-digestbot-prod,DigestBot,claude-haiku-4-5,10613,37389599,9031663,66.04
2025-11-04,key-kyc-prod,KYC,claude-sonnet-4-6,8899,21580075,4040146,125.34
2025-11-04,key-research-shared,Research,claude-sonnet-4-6,730,2494410,630720,16.94
2025-11-05,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,29550,56381400,12292800,353.54
2025-11-05,key-devagent-prod,DevAgent,gpt-5.4,4333,21002051,5112940,129.2
2025-11-05,key-digestbot-prod,DigestBot,claude-haiku-4-5,9309,37775922,8685297,64.96
2025-11-05,key-digestbot-prod,DigestBot,claude-haiku-4-5,0,0,0,12.4
2025-11-05,key-kyc-prod,KYC,claude-sonnet-4-6,8700,21976200,4393500,131.83
2025-11-05,key-marketing-prod,Marketing,gpt-5.4-mini,89,127893,207459,1.03
2025-11-05,key-research-shared,Research,claude-sonnet-4-6,165,621390,151800,4.14
2025-11-06,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,31604,61153740,12641600,373.09
2025-11-06,key-devagent-prod,DevAgent,gpt-5.4,4578,23059386,5044956,133.32
2025-11-06,key-digestbot-prod,DigestBot,claude-haiku-4-5,9239,35450043,7917823,60.03
2025-11-06,key-kyc-prod,KYC,claude-sonnet-4-6,9741,26933865,4578270,149.48
2025-11-06,key-research-shared,Research,claude-sonnet-4-6,243,669465,167913,4.53
2025-11-07,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,32925,64598850,13499250,396.29
2025-11-07,key-devagent-prod,DevAgent,gpt-5.4,4421,21729215,5154886,131.65
2025-11-07,key-digestbot-prod,DigestBot,claude-haiku-4-5,10287,38884860,8795385,66.29
2025-11-07,key-kyc-prod,KYC,claude-sonnet-4-6,9651,26868384,4796547,152.55
2025-11-07,key-marketing-prod,Marketing,gpt-5.4-mini,66,85404,105732,0.54
2025-11-08,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,8533,16972137,3737454,106.98
2025-11-08,key-devagent-prod,DevAgent,gpt-5.4,4409,20435715,5246710,129.79
2025-11-08,key-digestbot-prod,DigestBot,claude-haiku-4-5,11415,45191985,10284915,77.29
2025-11-08,key-research-shared,Research,claude-sonnet-4-6,158,558688,128296,3.6
2025-11-09,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,8668,17474688,3657896,107.29
2025-11-09,key-devagent-prod,DevAgent,gpt-5.4,5643,27701487,6698241,169.73
2025-11-09,key-digestbot-prod,DigestBot,claude-haiku-4-5,8501,31394193,6911313,52.76
2025-11-09,key-research-shared,Research,claude-sonnet-4-6,168,552048,111720,3.33
2025-11-10,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,34226,69923718,15264796,438.74
2025-11-10,key-advisorchat-prod,AdvisorChat,gpt-4o,501,1902798,432363,9.08
2025-11-10,key-devagent-prod,DevAgent,gpt-5.4,5041,23264215,6160102,150.56
2025-11-10,key-digestbot-prod,DigestBot,claude-haiku-4-5,11433,43662627,9512256,72.98
2025-11-10,key-kyc-prod,KYC,claude-sonnet-4-6,9955,27724675,4449885,149.92
2025-11-11,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,33648,69651360,13762032,415.38
